Canonicalized SMILES,Canonicalized Taste,Original Labels,Source
N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],umami,Umami molecule from literature,scifinder
NC(CCC(=O)[O-])C(=O)[O-].NC(CCC(=O)[O-])C(=O)[O-].[Ca+2],umami,Umami molecule from literature,scifinder
NC(CCC(=O)O)C(=O)[O-].[K+],umami,Umami molecule from literature,scifinder
Nc1nc(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,umami,Umami molecule from literature,scifinder
Nc1nc(=O)c2ncn(C3OC(COP(=O)([O-])[O-])C(O)C3O)c2[nH]1.[Na+].[Na+],umami,Umami molecule from literature,scifinder
O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,umami,Umami molecule from literature,scifinder
O=C(O)CCC(=O)O,umami,Umami molecule from literature,scifinder
O=C(O)C(O)C(O)C(=O)O,umami,Umami molecule from literature,scifinder
CC(O)C(=O)O,umami,Umami molecule from literature,scifinder
N[C@@H](CC(=O)O)C(=O)O,umami,Umami molecule from literature,scifinder
O=C(O)c1cc(O)c(O)c(O)c1,umami,Umami molecule from literature,scifinder
O=C(O)CC(OC1OC(CO)C(O)C(O)C1O)C(=O)O,umami,Umami molecule from literature,scifinder
O=C(O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1,umami,Umami molecule from literature,scifinder
CCNC(=O)CC[C@H](N)C(=O)O,umami,Umami molecule from literature,scifinder
CC(C(=O)[O-])[n+]1cc(O)ccc1CO,umami,Umami molecule from literature,scifinder
CCOC(=O)CNC(=O)C1CC(C)CCC1C(C)C,umami,Umami molecule from literature,scifinder
Cc1ccc(S(=O)OC2CC(C)CCC2C(C)C)cc1,umami,Umami molecule from literature,scifinder
CC(C)=CCCC(C)=CCNC(=O)C1CC1,umami,Umami molecule from literature,scifinder
CCCC(CCC)NC(=O)c1ccc2c(c1)OCO2,umami,Umami molecule from literature,scifinder
